Matnr,Spras,Maktx
000000000010000594,EN,Ball Mill Shell Liner Plate 250MM ABB
000000000010000595,EN,Apron Feeder Gear Reducer 10/8 SIEMENS
000000000010000596,EN,Conveyor Idler Roller Set 6/4 WEIR
000000000010000597,EN,Spherical Roller Bearing 110KW SKF
000000000080000133,EN,Belt Scraper Blade Cartridge 6/4 SKF
000000000010000598,EN,Level Radar Transmitter 6/4 SANDVIK
000000000010000599,EN,Crusher Hydroset Cylinder 150MM MULTOTEC
000000000080000134,EN,Flotation Cell Impeller 250MM ABB
000000000010000600,EN,Conveyor Pulley Bearing 6/4 WEIR
000000000010000601,EN,Hydraulic Power Pack 200MM MULTOTEC
000000000010000602,EN,Pump Impeller 150MM SKF
000000000010000603,EN,MCC Feeder Circuit Breaker 10/8 SEW
000000000010000604,EN,Apron Feeder Gear Reducer 8/6 FLSM
000000000080000135,EN,Crusher Main Shaft Bearing DN150 SIEMENS
000000000010000605,EN,Agitator Shaft Seal HD SANDVIK
000000000010000606,EN,Ventilation Fan Motor DN150 SANDVIK
000000000030000136,EN,Flow Meter Sensor Head 10/8 MULTOTEC
000000000080000136,EN,Ball Mill Shell Liner Plate 150MM
000000000080000137,EN,Conveyor Take-Up Pulley 250MM MULTOTEC
000000000010000607,EN,Slurry Density Transmitter 110KW SKF
000000000010000608,EN,Crusher Main Shaft Bearing TYPE B SEW
000000000010000609,EN,Level Radar Transmitter HD SANDVIK
000000000010000610,EN,Valve Assembly 6/4 METSO
000000000010000611,EN,Mill Lube Pump Motor 150MM ABB
000000000010000612,EN,Slurry Pump Mechanical Seal 150MM FLSM
000000000080000138,EN,Valve Assembly 6/4 MULTOTEC
000000000010000613,EN,Gland Packing Seal Ring 250KW ABB
000000000010000614,EN,Vertical Sump Pump Column DN100 METSO
000000000090000033,EN,Cyclone Apex Liner 6/4 SANDVIK
000000000030000137,EN,Conveyor Take-Up Pulley 150MM FLSM
000000000010000615,EN,Spherical Roller Bearing 8/6 SANDVIK
000000000010000616,EN,Conveyor Drive Gearbox TYPE A KSB
000000000080000139,EN,Vertical Sump Pump Column HD SANDVIK
000000000010000617,EN,PLC Digital Output Card TYPE B ABB
000000000010000618,EN,Skirt Rubber Liner Section 6/4 SIEMENS
000000000010000619,EN,Belt Scraper Blade Cartridge 200MM
000000000010000620,EN,Gland Packing Seal Ring 55KW MULTOTEC
000000000010000621,EN,Ventilation Fan Motor 6/4 MULTOTEC
000000000080000140,EN,Centrifugal Pump Casing 10/8 SANDVIK
000000000030000138,EN,Agitator Shaft Seal TYPE A SEW
000000000010000622,EN,Slurry Density Transmitter 55KW KSB
000000000010000623,EN,Gland Packing Seal Ring TYPE B SEW
000000000010000624,EN,Conveyor Pulley Bearing 250KW SIEMENS
000000000010000625,EN,Slurry Pump Wet End Assembly 6/4 WEIR
000000000010000626,EN,Conveyor Drive Gearbox 6/4 SKF
000000000080000141,EN,Mill Lube Pump Motor HD SIEMENS
000000000030000139,EN,Conveyor Idler Roller Set 8/6 SIEMENS
000000000010000627,EN,Screen Exciter Bearing 250MM FLSM
000000000030000140,EN,Pressure Transmitter Assembly TYPE B KSB
000000000010000628,EN,Conveyor Take-Up Pulley HD ABB
000000000010000629,EN,Slurry Density Transmitter 250KW SIEMENS
000000000010000630,EN,Conveyor Take-Up Pulley 110KW SEW
000000000010000631,EN,MCC Feeder Circuit Breaker 55KW WEIR
000000000010000632,EN,Thickener Rake Seal Kit 6/4 SEW
000000000080000142,EN,Crusher Main Shaft Bearing 250KW SANDVIK
000000000010000633,EN,Apron Feeder Gear Reducer 10/8 METSO
000000000010000634,EN,Slurry Pump Mechanical Seal 10/8 SKF
000000000010000635,EN,Skirt Rubber Liner Section 6/4 SEW
000000000080000143,EN,Hydraulic Pump Assembly TYPE A SANDVIK
000000000010000636,EN,Conveyor Pulley Bearing TYPE B KSB
000000000010000637,EN,MCC Feeder Circuit Breaker 250KW METSO
000000000030000141,EN,Slurry Pump Wet End Assembly DN100 ABB
000000000030000142,EN,Ball Mill Trunnion Bearing 55KW SKF
000000000080000144,EN,MCC Feeder Circuit Breaker DN150
000000000030000143,EN,Crusher Hydroset Cylinder DN100 WEIR
000000000010000638,EN,Thickener Rake Drive Gearbox TYPE A SKF
000000000010000639,EN,Ventilation Fan Motor 150MM FLSM
000000000010000640,EN,Cyclone Apex Liner 110KW SEW
000000000010000641,EN,Screen Exciter Bearing TYPE B ABB
000000000010000642,EN,Cyclone Apex Liner 8/6 SIEMENS
000000000010000643,EN,Cyclone Apex Liner 250KW WEIR
000000000030000144,EN,Ball Mill Trunnion Bearing 8/6 MULTOTEC
000000000010000644,EN,Ball Mill Gearbox Assembly 6/4
000000000010000645,EN,Conveyor Idler Roller Set 10/8 SIEMENS
000000000010000646,EN,Conveyor Drive Gearbox 8/6 KSB
000000000010000647,EN,Ventilation Fan Motor TYPE B FLSM
000000000010000648,EN,Variable Speed Drive Unit 250KW ABB
000000000010000649,EN,Slurry Density Transmitter 250MM SANDVIK
000000000010000650,EN,Conveyor Drive Motor 110KW MULTOTEC
000000000010000651,EN,Vertical Sump Pump Column 110KW SKF
000000000010000652,EN,Gland Packing Seal Ring 8/6 SEW
000000000010000653,EN,Hydraulic Pump Assembly 10/8 WEIR
000000000030000145,EN,Gland Packing Seal Ring 250KW KSB
000000000010000654,EN,Cyclone Apex Liner DN150 SIEMENS
000000000010000655,EN,Slurry Density Transmitter 6/4 SKF
000000000010000656,EN,Soft Starter Power Module DN150 MULTOTEC
000000000080000145,EN,Pressure Transmitter Assembly 250MM ABB
000000000030000146,EN,Skirt Rubber Liner Section 250MM KSB
000000000010000657,EN,Mill Lube Pump Motor DN100 WEIR
000000000010000658,EN,Mill Liner DN150 MULTOTEC
000000000010000659,EN,Apron Feeder Gear Reducer TYPE B SANDVIK
000000000010000660,EN,Crusher Main Shaft Bearing TYPE A FLSM
000000000010000661,EN,Thickener Rake Drive Gearbox 150MM ABB
000000000030000147,EN,Cyclone Apex Liner 6/4 SANDVIK
000000000010000662,EN,Ventilation Fan Motor 250MM SEW
000000000010000663,EN,Thickener Rake Drive Gearbox TYPE B
000000000080000146,EN,Valve Assembly 250KW SEW
000000000030000148,EN,Slurry Density Transmitter TYPE B SEW
000000000010000664,EN,Ball Mill Trunnion Bearing TYPE B SEW
000000000080000147,EN,Crusher Hydroset Cylinder 200MM ABB
000000000010000665,EN,Flotation Cell Impeller 150MM ABB
000000000030000149,EN,Mill Lube Pump Motor HD SKF
000000000080000148,EN,Ventilation Fan Motor 110KW SKF
000000000080000149,EN,Ball Mill Shell Liner Plate HD SKF
000000000010000666,EN,Crusher Main Shaft Bearing 110KW SEW
000000000030000150,EN,Flotation Cell Impeller 200MM KSB
000000000010000667,EN,Conveyor Take-Up Pulley 250KW METSO
000000000010000668,EN,Conveyor Pulley Bearing 250MM MULTOTEC
000000000010000669,EN,Ball Mill Shell Liner Plate DN150 WEIR
000000000010000670,EN,Thickener Rake Drive Gearbox DN150 KSB
000000000090000034,EN,Gearbox Bearing 200MM WEIR
000000000080000150,EN,Flotation Blower Motor TYPE A SEW
000000000030000151,EN,Centrifugal Pump Casing 150MM SEW
000000000010000671,EN,Conveyor Pulley Bearing 250MM METSO
000000000090000035,EN,Conveyor Pulley Bearing 8/6 SKF
000000000010000672,EN,Spherical Roller Bearing HD WEIR
000000000030000152,EN,Flotation Blower Motor 10/8 KSB
000000000010000673,EN,MCC Feeder Circuit Breaker 150MM ABB
000000000010000674,EN,Gland Packing Seal Ring 8/6 SEW
000000000010000675,EN,Hydraulic Power Pack 250MM SIEMENS
000000000080000151,EN,Flow Meter Sensor Head 6/4 SEW
000000000010000676,EN,Conveyor Pulley Bearing 200MM METSO
000000000010000677,EN,Ball Mill Trunnion Bearing TYPE B FLSM
000000000030000153,EN,Hydraulic Pump Assembly 10/8 SEW
000000000090000036,EN,Belt Scraper Blade Cartridge 110KW SEW
000000000010000678,EN,Spherical Roller Bearing 250MM KSB
000000000080000152,EN,Slurry Pump Wet End Assembly 200MM WEIR
000000000030000154,EN,Conveyor Pulley Bearing 150MM FLSM
000000000030000155,EN,Ball Mill Trunnion Bearing TYPE B METSO
000000000010000679,EN,Soft Starter Power Module 200MM MULTOTEC
000000000010000680,EN,MCC Feeder Circuit Breaker 55KW SANDVIK
000000000010000681,EN,MCC Feeder Circuit Breaker 250MM ABB
000000000030000156,EN,Thickener Rake Seal Kit TYPE B SANDVIK
000000000010000682,EN,Slurry Pump Wet End Assembly 6/4 SEW
000000000080000153,EN,Soft Starter Power Module DN150 WEIR
000000000090000037,EN,Ball Mill Shell Liner Plate 8/6 METSO
000000000010000683,EN,Thickener Rake Drive Gearbox 250KW FLSM
000000000010000684,EN,Soft Starter Power Module 200MM KSB
000000000010000685,EN,Hydraulic Power Pack 110KW MULTOTEC
000000000010000686,EN,Valve Assembly HD KSB
000000000010000687,EN,Thickener Rake Drive Gearbox HD SEW
000000000080000154,EN,Pressure Transmitter Assembly 250KW ABB
000000000010000688,EN,Spherical Roller Bearing TYPE A ABB
000000000030000157,EN,Slurry Pump Mechanical Seal TYPE B SKF
000000000090000038,EN,Cyclone Apex Liner 200MM WEIR
000000000080000155,EN,Level Radar Transmitter TYPE A FLSM
000000000010000689,EN,Level Radar Transmitter 55KW SEW
000000000010000690,EN,Gearbox Bearing 250KW KSB
000000000010000691,EN,Ball Mill Gearbox Assembly 8/6 SANDVIK
000000000080000156,EN,Belt Scraper Blade Cartridge 150MM
000000000010000692,EN,Screen Exciter Bearing DN150 KSB
000000000010000693,EN,Ball Mill Shell Liner Plate 200MM
000000000010000694,EN,Ball Mill Trunnion Bearing 10/8 METSO
000000000010000695,EN,Gearbox Bearing 10/8 SEW
000000000010000696,EN,Variable Speed Drive Unit 250KW SEW
000000000030000158,EN,Soft Starter Power Module 250MM MULTOTEC
000000000010000697,EN,MCC Feeder Circuit Breaker 55KW SANDVIK
000000000010000698,EN,Thickener Rake Seal Kit DN150 SEW
000000000080000157,EN,Hydraulic Power Pack 150MM SIEMENS
000000000010000699,EN,Gland Packing Seal Ring DN100 SANDVIK
000000000010000700,EN,Ball Mill Gearbox Assembly 10/8 KSB
000000000010000701,EN,Belt Scraper Blade Cartridge TYPE B KSB
000000000030000159,EN,Vertical Sump Pump Column TYPE A SEW
000000000010000702,EN,Gland Packing Seal Ring 250MM SANDVIK
000000000010000703,EN,Gland Packing Seal Ring TYPE A ABB
000000000010000704,EN,Skirt Rubber Liner Section TYPE A METSO
000000000010000705,EN,Conveyor Drive Motor 200MM ABB
000000000010000706,EN,Level Radar Transmitter 250MM ABB
000000000010000707,EN,Belt Scraper Blade Cartridge 150MM FLSM
000000000010000708,EN,Centrifugal Pump Casing DN150 FLSM
000000000010000709,EN,Conveyor Drive Gearbox 110KW ABB
000000000010000710,EN,Thickener Rake Drive Gearbox 10/8 ABB
000000000010000711,EN,Mill Liner 8/6 MULTOTEC
000000000080000158,EN,MCC Feeder Circuit Breaker DN100 SIEMENS
000000000080000159,EN,Mill Liner HD METSO
000000000010000712,EN,Cyclone Apex Liner 110KW SANDVIK
000000000010000713,EN,Ball Mill Gearbox Assembly 150MM
000000000030000160,EN,Valve Assembly TYPE A MULTOTEC
000000000030000161,EN,Hydraulic Pump Assembly HD SKF
000000000030000162,EN,Gearbox Bearing 250MM SKF
000000000010000714,EN,Conveyor Idler Roller Set TYPE A FLSM
000000000030000163,EN,Soft Starter Power Module HD FLSM
000000000080000160,EN,Skirt Rubber Liner Section DN100 FLSM
000000000030000164,EN,Conveyor Idler Roller Set HD SKF
000000000010000715,EN,MCC Feeder Circuit Breaker 6/4 FLSM
000000000010000716,EN,Ball Mill Shell Liner Plate 6/4 SKF
000000000010000717,EN,Thickener Rake Seal Kit 250KW SKF
000000000030000165,EN,Pump Impeller 150MM KSB
000000000010000718,EN,Slurry Pump Mechanical Seal 110KW SEW
000000000080000161,EN,Belt Scraper Blade Cartridge 10/8
000000000010000719,EN,Mill Lube Pump Motor 55KW MULTOTEC
000000000030000166,EN,Conveyor Drive Motor 8/6 SKF
000000000010000720,EN,Flow Meter Sensor Head TYPE B SIEMENS
000000000010000721,EN,Conveyor Drive Gearbox 250KW ABB
000000000010000722,EN,Agitator Shaft Seal HD FLSM
000000000030000167,EN,Conveyor Drive Gearbox 150MM MULTOTEC
000000000010000723,EN,Thickener Rake Seal Kit TYPE A ABB
000000000010000724,EN,Mill Liner 200MM SEW
000000000010000725,EN,Conveyor Pulley Bearing 150MM SIEMENS
000000000010000726,EN,Flotation Cell Impeller DN100 WEIR
000000000080000162,EN,Crusher Main Shaft Bearing 6/4 SANDVIK
000000000010000727,EN,PLC Digital Output Card TYPE A METSO
000000000010000728,EN,Agitator Shaft Seal HD ABB
000000000010000729,EN,Slurry Density Transmitter 10/8
000000000010000730,EN,Mill Liner TYPE B ABB
000000000010000731,EN,PLC Digital Output Card 150MM SEW
000000000010000732,EN,Mill Lube Pump Motor HD SANDVIK
000000000010000733,EN,Soft Starter Power Module 250KW MULTOTEC
000000000030000168,EN,Mill Liner DN150 KSB
000000000080000163,EN,Flotation Blower Motor TYPE B SEW
000000000090000039,EN,Soft Starter Power Module TYPE A SANDVIK
000000000080000164,EN,PLC Digital Output Card 250KW SIEMENS
000000000010000734,EN,PLC Digital Output Card 8/6 KSB
000000000010000735,EN,Hydraulic Power Pack 6/4 KSB
000000000090000040,EN,Ball Mill Trunnion Bearing DN100 SKF
000000000030000169,EN,Flotation Blower Motor 8/6 MULTOTEC
000000000030000170,EN,Screen Exciter Bearing DN150 MULTOTEC
000000000010000736,EN,Crusher Hydroset Cylinder 200MM KSB
000000000010000737,EN,Ball Mill Shell Liner Plate 10/8
000000000010000738,EN,Slurry Pump Mechanical Seal TYPE B METSO
000000000010000739,EN,Flotation Blower Motor HD METSO
000000000010000740,EN,Pressure Transmitter Assembly 150MM
000000000010000741,EN,Ball Mill Gearbox Assembly TYPE A ABB
000000000030000171,EN,Agitator Shaft Seal HD METSO
000000000010000742,EN,Pressure Transmitter Assembly 55KW
000000000080000165,EN,Cyclone Apex Liner 200MM METSO
000000000010000743,EN,Variable Speed Drive Unit 110KW FLSM
000000000010000744,EN,Ball Mill Shell Liner Plate 6/4 KSB
000000000030000172,EN,Crusher Main Shaft Bearing DN100 KSB
000000000010000745,EN,Screen Exciter Bearing TYPE A MULTOTEC
000000000010000746,EN,Soft Starter Power Module TYPE A SIEMENS
000000000030000173,EN,Screen Exciter Bearing 110KW KSB
000000000080000166,EN,Slurry Pump Mechanical Seal 250KW ABB
000000000080000167,EN,Mill Liner DN100 METSO
000000000010000747,EN,Spherical Roller Bearing 6/4 WEIR
000000000030000174,EN,MCC Feeder Circuit Breaker 55KW FLSM
000000000010000748,EN,Crusher Hydroset Cylinder HD SANDVIK
000000000010000749,EN,Flow Meter Sensor Head 200MM SIEMENS
000000000010000750,EN,Cyclone Apex Liner 150MM KSB
000000000080000168,EN,Centrifugal Pump Casing 55KW FLSM
000000000080000169,EN,Slurry Pump Mechanical Seal 110KW SKF
000000000080000170,EN,Mill Liner 55KW SIEMENS
000000000010000751,EN,Valve Assembly HD SIEMENS
000000000010000752,EN,Ball Mill Shell Liner Plate 110KW KSB
000000000010000753,EN,Pump Impeller 110KW SIEMENS
000000000080000171,EN,Ventilation Fan Motor 10/8 WEIR
000000000010000754,EN,Conveyor Take-Up Pulley 55KW SKF
000000000010000755,EN,Thickener Rake Drive Gearbox 10/8
000000000010000756,EN,Apron Feeder Gear Reducer 55KW ABB
000000000080000172,EN,Flow Meter Sensor Head 6/4 SIEMENS
000000000010000757,EN,Pump Impeller 110KW SIEMENS
000000000030000175,EN,Skirt Rubber Liner Section HD SIEMENS
000000000010000758,EN,Conveyor Drive Motor 150MM METSO
000000000010000759,EN,Valve Assembly TYPE B MULTOTEC
000000000080000173,EN,Valve Assembly DN100 ABB
000000000010000760,EN,Apron Feeder Gear Reducer 8/6 WEIR
000000000010000761,EN,Pressure Transmitter Assembly 10/8
000000000010000762,EN,Mill Liner 250KW SEW
000000000080000174,EN,Slurry Pump Wet End Assembly 110KW SKF
000000000010000763,EN,Slurry Density Transmitter DN150 SANDVIK
000000000030000176,EN,Slurry Pump Wet End Assembly 55KW ABB
000000000090000041,EN,Apron Feeder Gear Reducer 250MM KSB
000000000010000764,EN,Slurry Density Transmitter HD
000000000080000175,EN,Hydraulic Power Pack 55KW MULTOTEC
000000000010000765,EN,Conveyor Take-Up Pulley TYPE A SIEMENS
000000000010000766,EN,Ball Mill Gearbox Assembly DN100 FLSM
000000000010000767,EN,Conveyor Drive Motor 8/6 SANDVIK
000000000010000768,EN,Hydraulic Pump Assembly 250MM SIEMENS
000000000030000177,EN,Ball Mill Shell Liner Plate 10/8 KSB
000000000010000769,EN,Spherical Roller Bearing 6/4 SIEMENS
000000000080000176,EN,Ball Mill Shell Liner Plate 10/8 ABB
000000000010000770,EN,Gland Packing Seal Ring 150MM WEIR
000000000010000771,EN,Centrifugal Pump Casing 8/6 KSB
000000000080000177,EN,Slurry Density Transmitter TYPE A FLSM
000000000010000772,EN,Flow Meter Sensor Head 250MM MULTOTEC
000000000080000178,EN,Conveyor Take-Up Pulley 110KW WEIR
000000000010000773,EN,PLC Digital Output Card 150MM SKF
000000000010000774,EN,Flotation Blower Motor DN100 KSB
000000000010000775,EN,Thickener Rake Drive Gearbox 6/4 METSO
000000000030000178,EN,Spherical Roller Bearing 110KW SANDVIK
000000000010000776,EN,Thickener Rake Seal Kit 150MM SANDVIK
000000000010000777,EN,Conveyor Drive Gearbox 6/4 KSB
000000000010000778,EN,Ball Mill Trunnion Bearing DN100 SANDVIK
000000000010000779,EN,Pressure Transmitter Assembly 55KW
000000000080000179,EN,Soft Starter Power Module HD ABB
000000000010000780,EN,Variable Speed Drive Unit 55KW MULTOTEC
000000000010000781,EN,Thickener Rake Drive Gearbox 110KW FLSM
000000000030000179,EN,PLC Digital Output Card DN100 METSO
000000000010000782,EN,Slurry Pump Wet End Assembly 250KW
000000000010000783,EN,Mill Lube Pump Motor 6/4 METSO
000000000010000784,EN,Conveyor Drive Gearbox TYPE A SEW
000000000010000785,EN,Belt Scraper Blade Cartridge 55KW METSO
000000000030000180,EN,PLC Digital Output Card 150MM METSO
000000000080000180,EN,Crusher Main Shaft Bearing HD ABB
000000000010000786,EN,Flotation Cell Impeller DN100 SKF
000000000010000787,EN,Screen Exciter Bearing 10/8 SIEMENS
000000000010000788,EN,Slurry Density Transmitter 10/8 SANDVIK
000000000010000789,EN,Hydraulic Pump Assembly DN150 SEW
000000000010000790,EN,Skirt Rubber Liner Section 250MM WEIR
000000000030000181,EN,Conveyor Idler Roller Set 250KW SEW
000000000010000791,EN,Variable Speed Drive Unit 10/8 SEW
000000000010000792,EN,Cyclone Apex Liner 200MM WEIR
000000000010000793,EN,Slurry Density Transmitter 10/8 SEW
000000000080000181,EN,Ball Mill Gearbox Assembly TYPE A KSB
000000000010000794,EN,Level Radar Transmitter 8/6 SKF
000000000010000795,EN,Centrifugal Pump Casing 10/8 ABB
000000000010000796,EN,Flow Meter Sensor Head 8/6 SKF
000000000080000182,EN,Conveyor Pulley Bearing TYPE B MULTOTEC
000000000010000797,EN,Slurry Density Transmitter 8/6 KSB
000000000010000798,EN,Conveyor Take-Up Pulley 10/8 SIEMENS
000000000030000182,EN,Pressure Transmitter Assembly DN150 KSB
000000000030000183,EN,Thickener Rake Drive Gearbox HD
000000000030000184,EN,Slurry Density Transmitter HD KSB
000000000010000799,EN,Belt Scraper Blade Cartridge 6/4 WEIR
000000000010000800,EN,Hydraulic Pump Assembly 250MM METSO
000000000080000183,EN,Apron Feeder Gear Reducer 8/6 SANDVIK
000000000030000185,EN,Valve Assembly 200MM MULTOTEC
000000000010000801,EN,Pump Impeller DN100 SKF
000000000080000184,EN,Cyclone Apex Liner 200MM SIEMENS
000000000010000802,EN,Gland Packing Seal Ring 110KW SEW
000000000010000803,EN,Hydraulic Pump Assembly 200MM SEW
000000000010000804,EN,Flotation Cell Impeller DN150 ABB
000000000010000805,EN,Spherical Roller Bearing 110KW SIEMENS
000000000010000806,EN,Ventilation Fan Motor 6/4 SKF
000000000010000807,EN,Pump Impeller TYPE A METSO
000000000010000808,EN,Slurry Density Transmitter TYPE A FLSM
000000000030000186,EN,PLC Digital Output Card TYPE B SKF
000000000010000809,EN,Spherical Roller Bearing 10/8 SIEMENS
000000000030000187,EN,MCC Feeder Circuit Breaker 10/8 MULTOTEC
000000000030000188,EN,Ventilation Fan Motor 8/6 FLSM
000000000010000810,EN,MCC Feeder Circuit Breaker 110KW SIEMENS
000000000030000189,EN,Soft Starter Power Module 150MM SANDVIK
000000000010000811,EN,Crusher Main Shaft Bearing 110KW FLSM
000000000010000812,EN,Valve Assembly 200MM METSO
000000000010000813,EN,Spherical Roller Bearing 250KW MULTOTEC
000000000010000814,EN,Apron Feeder Gear Reducer 150MM METSO
000000000010000815,EN,Conveyor Drive Motor 150MM MULTOTEC
000000000030000190,EN,Pressure Transmitter Assembly HD SANDVIK
000000000010000816,EN,Slurry Pump Wet End Assembly 150MM SEW
000000000010000817,EN,Pump Impeller 6/4 ABB
000000000080000185,EN,Pump Impeller 250MM ABB
000000000080000186,EN,Gland Packing Seal Ring TYPE A FLSM
000000000010000818,EN,Conveyor Idler Roller Set DN150 MULTOTEC
000000000090000042,EN,Conveyor Take-Up Pulley 110KW FLSM
000000000010000819,EN,Thickener Rake Seal Kit DN100 METSO
000000000010000820,EN,Flotation Cell Impeller DN100 ABB
000000000010000821,EN,Slurry Pump Mechanical Seal 110KW FLSM
000000000010000822,EN,Conveyor Take-Up Pulley 150MM WEIR
000000000080000187,EN,Ball Mill Shell Liner Plate 200MM WEIR
000000000010000823,EN,Gland Packing Seal Ring 250MM WEIR
000000000010000824,EN,Mill Liner 200MM SANDVIK
000000000030000191,EN,Hydraulic Pump Assembly 110KW SKF
000000000030000192,EN,MCC Feeder Circuit Breaker 10/8 SEW
000000000010000825,EN,Hydraulic Pump Assembly DN100 KSB
000000000010000826,EN,Gearbox Bearing 250KW ABB
000000000010000827,EN,Thickener Rake Drive Gearbox 110KW KSB
000000000010000828,EN,Flotation Blower Motor TYPE B ABB
000000000010000829,EN,Thickener Rake Drive Gearbox DN150
000000000010000830,EN,Crusher Main Shaft Bearing 110KW SANDVIK
000000000010000831,EN,Flotation Blower Motor 6/4 KSB
000000000010000832,EN,Flotation Blower Motor DN150 SKF
000000000080000188,EN,Gearbox Bearing 6/4 METSO
000000000010000833,EN,Skirt Rubber Liner Section DN150 FLSM
000000000030000193,EN,Slurry Pump Wet End Assembly 10/8 SKF
000000000010000834,EN,Flotation Blower Motor 250KW SIEMENS
000000000080000189,EN,Conveyor Take-Up Pulley 10/8 SKF
000000000030000194,EN,Variable Speed Drive Unit 8/6 ABB
000000000010000835,EN,Soft Starter Power Module 200MM SIEMENS
000000000030000195,EN,Agitator Shaft Seal 250KW SKF
000000000010000836,EN,Ventilation Fan Motor 55KW WEIR
000000000030000196,EN,Belt Scraper Blade Cartridge TYPE B FLSM
000000000010000837,EN,Mill Liner 150MM SKF
000000000010000838,EN,Belt Scraper Blade Cartridge 6/4
000000000090000043,EN,Centrifugal Pump Casing 200MM SANDVIK
000000000010000839,EN,Cyclone Apex Liner 200MM KSB
000000000010000840,EN,Vertical Sump Pump Column HD METSO
000000000010000841,EN,Gearbox Bearing 110KW ABB
000000000080000190,EN,Ball Mill Shell Liner Plate TYPE B FLSM
000000000010000842,EN,Pump Impeller 250KW SIEMENS
000000000010000843,EN,Flow Meter Sensor Head HD MULTOTEC
000000000030000197,EN,Vertical Sump Pump Column 250KW WEIR
000000000080000191,EN,Slurry Pump Wet End Assembly DN150
000000000030000198,EN,Screen Exciter Bearing 250MM FLSM
000000000030000199,EN,Slurry Pump Mechanical Seal 55KW METSO
000000000080000192,EN,Flow Meter Sensor Head DN100 SANDVIK
000000000010000844,EN,Flow Meter Sensor Head 200MM SKF
000000000030000200,EN,Vertical Sump Pump Column 110KW SKF
000000000010000845,EN,Ball Mill Gearbox Assembly 55KW WEIR
000000000080000193,EN,Apron Feeder Gear Reducer 10/8 ABB
000000000010000846,EN,Conveyor Idler Roller Set TYPE A METSO
000000000030000201,EN,Slurry Pump Wet End Assembly 8/6 SEW
000000000010000847,EN,Crusher Hydroset Cylinder HD WEIR
000000000010000848,EN,Valve Assembly 8/6 SEW
000000000010000849,EN,Ventilation Fan Motor 200MM ABB
000000000030000202,EN,Crusher Main Shaft Bearing 250MM SIEMENS
000000000010000850,EN,Thickener Rake Drive Gearbox 200MM SEW
000000000010000851,EN,Slurry Pump Mechanical Seal 10/8 SKF
000000000010000852,EN,Slurry Pump Wet End Assembly DN150 ABB
000000000030000203,EN,Thickener Rake Seal Kit 10/8 METSO
000000000030000204,EN,Hydraulic Pump Assembly 6/4 WEIR
000000000010000853,EN,Soft Starter Power Module DN100
000000000010000854,EN,Conveyor Pulley Bearing DN100 SANDVIK
000000000010000855,EN,Agitator Shaft Seal 10/8 MULTOTEC
000000000010000856,EN,Flotation Blower Motor 250KW MULTOTEC
000000000010000857,EN,Cyclone Apex Liner 200MM METSO
000000000080000194,EN,Conveyor Idler Roller Set 200MM SIEMENS
000000000010000858,EN,Flow Meter Sensor Head 10/8 FLSM
000000000010000859,EN,Ball Mill Gearbox Assembly 6/4
000000000010000860,EN,Thickener Rake Seal Kit 250KW MULTOTEC
000000000010000861,EN,Thickener Rake Seal Kit 8/6 WEIR
000000000030000205,EN,Conveyor Take-Up Pulley TYPE B FLSM
000000000090000044,EN,Gland Packing Seal Ring 250KW ABB
000000000010000862,EN,PLC Digital Output Card 150MM WEIR
000000000010000863,EN,Flotation Blower Motor 150MM SANDVIK
000000000010000864,EN,Variable Speed Drive Unit DN150 ABB
000000000030000206,EN,Spherical Roller Bearing 150MM WEIR
000000000010000865,EN,Pump Impeller 8/6 WEIR
000000000010000866,EN,Slurry Density Transmitter 6/4 WEIR
000000000010000867,EN,Flotation Cell Impeller HD SEW
000000000080000195,EN,PLC Digital Output Card DN150 SANDVIK
000000000030000207,EN,Conveyor Drive Gearbox TYPE B ABB
000000000080000196,EN,Mill Liner 250MM SEW
000000000030000208,EN,Mill Lube Pump Motor 6/4 SEW
000000000030000209,EN,Apron Feeder Gear Reducer TYPE A FLSM
000000000080000197,EN,Soft Starter Power Module TYPE B SIEMENS
000000000080000198,EN,Hydraulic Pump Assembly TYPE B SKF
000000000030000210,EN,Thickener Rake Drive Gearbox TYPE A FLSM
000000000010000868,EN,Belt Scraper Blade Cartridge DN100 SEW
000000000010000869,EN,Conveyor Idler Roller Set 250MM SKF
000000000010000870,EN,Gland Packing Seal Ring 250KW METSO
000000000010000871,EN,Thickener Rake Seal Kit 110KW FLSM
000000000030000211,EN,Ball Mill Shell Liner Plate 150MM FLSM
000000000010000872,EN,Cyclone Apex Liner DN150 METSO
000000000030000212,EN,Flotation Cell Impeller 110KW ABB
000000000010000873,EN,Apron Feeder Gear Reducer 150MM MULTOTEC
000000000080000199,EN,Conveyor Take-Up Pulley DN150 SEW
000000000010000874,EN,Vertical Sump Pump Column DN150 SEW
000000000080000200,EN,Hydraulic Power Pack 150MM METSO
000000000010000875,EN,Centrifugal Pump Casing 110KW SANDVIK
000000000010000876,EN,Gearbox Bearing 8/6 SANDVIK
000000000010000877,EN,Pump Impeller DN100 SKF
000000000010000878,EN,Mill Liner 200MM SKF
000000000010000879,EN,Conveyor Pulley Bearing 150MM WEIR
000000000010000880,EN,Gland Packing Seal Ring TYPE A SKF
000000000030000213,EN,Pressure Transmitter Assembly 110KW
000000000010000881,EN,Belt Scraper Blade Cartridge DN100 FLSM
000000000010000882,EN,Pressure Transmitter Assembly HD WEIR
