id,material_code,description,material_group,material_type,plant,storage_location,unit_of_measure,criticality,lifecycle_status,service_code,manufacturer,manufacturer_part_no,last_po_price,last_vendor,stock_level,reorder_point,lead_time_days,repair_cost_factor,active,created_at,updated_at
155,500-10155,"Butterfly Valve, 100mm (4""), wafer type",Valves,Butterfly Valve,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Bushveld Precision Engineering,MP-000155,16982.25,Bushveld Industrial Supplies (Pty) Ltd,25,17,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
156,500-10156,"Slip Ring Induction Motor, 30kW, 6-pole",Motors,Slip Ring Induction Motor,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Escarpment Pump Manufacturing,MP-000156,292513.86,Waterberg Valve & Fittings (Pty) Ltd,32,32,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
157,80-10157,"TEFC Induction Motor, 55kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Bushveld Bearing Works,MP-000157,65969.09,Waterberg Mining Equipment Traders (Pty) Ltd,25,30,21,0.442,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
158,500-10158,"Motor Drive Coupling, elastomeric, rated for 45kW",Motors,Motor Drive Coupling,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Highveld Electromechanical Works,MP-000158,19094.98,Waterberg Valve & Fittings (Pty) Ltd,39,38,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
159,500-10159,"Pinch Valve, 80mm (3""), slurry service",Valves,Pinch Valve,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Sutherland Bearing Works,MP-000159,23742.12,Lowveld Engineering Supplies (Pty) Ltd,17,14,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
160,500-10160,"Deep Groove Ball Bearing 6290-2RS, 90mm bore",Bearings,Deep Groove Ball Bearing 62-2RS,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Namaqua Bearing Works,MP-000160,992.46,Kuruman Bearing & Drive Co (Pty) Ltd,35,38,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
161,500-10161,"Pressure Transmitter, 0-100 bar range, 4-20mA",Instrumentation,Pressure Transmitter,Gamsberg,GSB-MINING-STORE,EA,HIGH,EOL,,Sutherland Seal Technologies,MP-000161,18197.13,Kuruman Bearing & Drive Co (Pty) Ltd,34,34,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
162,500-10162,"Pillow Block Bearing Unit UCP290, 90mm shaft",Bearings,Pillow Block Bearing Unit UCP2,BMM,BMM-WORKSHOP-STORE,EA,MEDIUM,Active,,Sutherland Electromechanical Works,MP-000162,941.45,Lowveld Engineering Supplies (Pty) Ltd,27,23,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
163,500-10163,"Variable Speed Drive, 55kW",Electrical Spares,Variable Speed Drive,Gamsberg,GSB-MINING-STORE,EA,CRITICAL,Active,,Highveld Seal Technologies,MP-000163,109836.4,Postmasburg Spares & Components (Pty) Ltd,36,41,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
164,500-10164,"Ball Mill Grinding Media, 60mm, forged steel balls",Milling Components,Ball Mill Grinding Media,BMM,BMM-MAIN-WH,TON,HIGH,Active,,Namaqua Valve Foundry,MP-000164,25369.4,Northern Cape Valve & Fittings (Pty) Ltd,500,503,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
165,500-10165,"Tapered Roller Bearing 32060, 60mm bore",Bearings,Tapered Roller Bearing 320,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,EOL,,Escarpment Bearing Works,MP-000165,12267.66,Aggeneys Spares & Components (Pty) Ltd,33,38,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
166,500-10166,"Variable Speed Drive, 7.5kW",Electrical Spares,Variable Speed Drive,BMM,BMM-MAIN-WH,EA,CRITICAL,Active,,Escarpment Valve Foundry,MP-000166,100130.3,Kimberley Industrial Supplies (Pty) Ltd,13,18,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
167,500-10167,"Froth Paddle Assembly, medium cell",Flotation Components,Froth Paddle Assembly,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Vaal Precision Engineering,MP-000167,31608.46,Drakensberg Valve & Fittings (Pty) Ltd,15,17,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
168,500-10168,"Circuit Breaker, MCCB, 1000A",Electrical Spares,Circuit Breaker,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Highveld Valve Foundry,MP-000168,8548.13,Lowveld Valve & Fittings (Pty) Ltd,10,7,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
169,500-10169,"TEFC Induction Motor, 45kW, 4-pole, IE3",Motors,TEFC Induction Motor,Gamsberg,GSB-MAIN-WH,EA,HIGH,EOL,,Bushveld Valve Foundry,MP-000169,128075.48,Vaal Industrial Supplies (Pty) Ltd,26,29,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
170,500-10170,"Spherical Roller Bearing 22220, 20mm bore",Bearings,Spherical Roller Bearing 222,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Highveld Pump Manufacturing,MP-000170,11910.67,Vaal Industrial Supplies (Pty) Ltd,14,18,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
171,80-10171,"Motor Drive Coupling, elastomeric, rated for 11kW",Motors,Motor Drive Coupling,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,,Highveld Precision Engineering,MP-000171,11201.61,Kimberley Valve & Fittings (Pty) Ltd,9,4,21,0.446,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
172,500-10172,"Knife Gate Valve, 200mm (8""), rubber lined",Valves,Knife Gate Valve,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Karoo Seal Technologies,MP-000172,20643.31,Lowveld Electromechanical Ltd (Pty) Ltd,12,13,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
173,500-10173,"Spherical Roller Bearing 22240, 40mm bore",Bearings,Spherical Roller Bearing 222,Gamsberg,GSB-PLANT-STORE,EA,HIGH,Active,,Bushveld Electromechanical Works,MP-000173,21946.72,Kuruman Bearing & Drive Co (Pty) Ltd,19,18,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
174,500-10174,"Flotation Cell Stator, medium cell",Flotation Components,Flotation Cell Stator,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Escarpment Wear Parts Casting,MP-000174,100022.33,Escarpment Mining Equipment Traders (Pty) Ltd,20,20,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
175,500-10175,"Impact Idler, 650mm belt width, rubber disc",Conveyor Components,Impact Idler,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Highveld Bearing Works,MP-000175,3999.62,Karoo Pump Solutions (Pty) Ltd,31,26,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
176,80-10176,"Gland Packing Set, shaft 65mm, PTFE impregnated",Mechanical Seals,Gland Packing Set,BMM,BMM-PLANT-STORE,SET,MEDIUM,Obsolete,,Escarpment Seal Technologies,MP-000176,1930.95,Springbok Engineering Supplies (Pty) Ltd,328,323,14,0.288,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
177,500-10177,"Pillow Block Bearing Unit UCP225, 25mm shaft",Bearings,Pillow Block Bearing Unit UCP2,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,,Highveld Wear Parts Casting,MP-000177,7569.17,Copperton Pump Solutions (Pty) Ltd,23,28,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
178,500-10178,"Butterfly Valve, 25mm (1""), wafer type",Valves,Butterfly Valve,BMM,BMM-WORKSHOP-STORE,EA,MEDIUM,Active,,Bushveld Pump Manufacturing,MP-000178,4781.35,Postmasburg Electromechanical Ltd (Pty) Ltd,27,32,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
179,80-10179,"Jaw Crusher Fixed Jaw Plate, corrugated, manganese steel",Crusher Components,Jaw Crusher Fixed Jaw Plate,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Karoo Electromechanical Works,MP-000179,93070.89,Namaqua Spares & Components (Pty) Ltd,0,1,7,0.428,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
180,500-10180,"Pressure Transmitter, 0-40 bar range, 4-20mA",Instrumentation,Pressure Transmitter,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Sutherland Valve Foundry,MP-000180,12488.71,Lowveld Electromechanical Ltd (Pty) Ltd,5,9,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
181,80-10181,"Seal Support System, API Plan 32, shaft 65mm",Mechanical Seals,Seal Support System,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Vaal Electromechanical Works,MP-000181,38739.95,Karoo Bearing & Drive Co (Pty) Ltd,7,1,30,0.4,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
182,500-10182,"Impact Idler, 1600mm belt width, rubber disc",Conveyor Components,Impact Idler,BMM,BMM-MAIN-WH,EA,MEDIUM,Active,,Copperton Wear Parts Casting,MP-000182,1709.98,Northern Cape Pump Solutions (Pty) Ltd,20,14,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
183,500-10183,"Pillow Block Bearing Unit UCP235, 35mm shaft",Bearings,Pillow Block Bearing Unit UCP2,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Karoo Bearing Works,MP-000183,9474.2,Springbok Engineering Supplies (Pty) Ltd,14,17,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
184,80-10184,"Diaphragm Dosing Pump Head Assembly, Medium duty",Pumps,Diaphragm Dosing Pump Head Assembly,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Escarpment Precision Engineering,MP-000184,33415.58,Namaqua Seals & Sealing Systems (Pty) Ltd,3,2,45,0.379,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
185,500-10185,"Power Cable, XLPE armoured, 4-core 35mm2",Electrical Spares,Power Cable,Gamsberg,GSB-MAIN-WH,M,MEDIUM,Active,,Vaal Pump Manufacturing,MP-000185,517.16,Drakensberg Valve & Fittings (Pty) Ltd,150,153,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
186,80-10186,"SAG Mill Liner Plate, lifter bar, chrome-moly steel",Milling Components,SAG Mill Liner Plate,BMM,BMM-MAIN-WH,EA,CRITICAL,Active,,Vaal Wear Parts Casting,MP-000186,71549.85,Kimberley Industrial Supplies (Pty) Ltd,16,16,7,0.294,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
187,80-10187,"Ball Mill Grinding Media, 40mm, forged steel balls",Milling Components,Ball Mill Grinding Media,Gamsberg,GSB-PLANT-STORE,TON,HIGH,Active,,Bushveld Wear Parts Casting,MP-000187,23124.38,Karoo Electromechanical Ltd (Pty) Ltd,98,100,21,0.447,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
188,80-10188,"Centrifugal Slurry Pump Casing Liner, Low-flow metering",Pumps,Centrifugal Slurry Pump Casing Liner,BMM,BMM-MAIN-WH,EA,HIGH,Active,,Bushveld Seal Technologies,MP-000188,54554.67,Drakensberg Valve & Fittings (Pty) Ltd,33,26,21,0.41,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
189,500-10189,"Flow Meter, magnetic, 40mm (1.5"")",Instrumentation,Flow Meter,Gamsberg,GSB-MINING-STORE,EA,HIGH,EOL,,Sutherland Wear Parts Casting,MP-000189,34671.68,Orange River Bearing & Drive Co (Pty) Ltd,17,17,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
190,500-10190,"Mill Trunnion Bearing Liner, feed end",Milling Components,Mill Trunnion Bearing Liner,BMM,BMM-PLANT-STORE,EA,CRITICAL,Active,,Escarpment Electromechanical Works,MP-000190,115237.79,Kimberley Seals & Sealing Systems (Pty) Ltd,7,10,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
191,500-10191,"Spherical Roller Bearing 22260, 60mm bore",Bearings,Spherical Roller Bearing 222,Gamsberg,GSB-MAIN-WH,EA,HIGH,Active,,Namaqua Seal Technologies,MP-000191,14073.55,Upington Industrial Supplies (Pty) Ltd,33,34,14,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
192,500-10192,"Pillow Block Bearing Unit UCP217, 17mm shaft",Bearings,Pillow Block Bearing Unit UCP2,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Vaal Seal Technologies,MP-000192,9801.48,Kimberley Valve & Fittings (Pty) Ltd,19,14,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
193,500-10193,"Ball Valve, 50mm (2""), full bore, stainless trim",Valves,Ball Valve,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Namaqua Pump Manufacturing,MP-000193,21664.49,Aggeneys Pump Solutions (Pty) Ltd,16,19,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
194,500-10194,"Flow Meter, magnetic, 25mm (1"")",Instrumentation,Flow Meter,BMM,BMM-PLANT-STORE,EA,HIGH,Active,,Vaal Bearing Works,MP-000194,84170.51,Orange River Bearing & Drive Co (Pty) Ltd,5,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
195,500-10195,"Froth Paddle Assembly, tank cell",Flotation Components,Froth Paddle Assembly,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,,Vaal Valve Foundry,MP-000195,22799.55,Northern Cape Seals & Sealing Systems (Pty) Ltd,6,5,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
196,500-10196,"Impact Idler, 800mm belt width, rubber disc",Conveyor Components,Impact Idler,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,,Karoo Valve Foundry,MP-000196,2852.39,Postmasburg Spares & Components (Pty) Ltd,26,30,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
197,500-10197,"Slip Ring Induction Motor, 75kW, 6-pole",Motors,Slip Ring Induction Motor,Gamsberg,GSB-MAIN-WH,EA,CRITICAL,Active,,Copperton Electromechanical Works,MP-000197,218240.51,Waterberg Mining Equipment Traders (Pty) Ltd,32,28,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
198,500-10198,"Knife Gate Valve, 80mm (3""), rubber lined",Valves,Knife Gate Valve,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Copperton Precision Engineering,MP-000198,7970.38,Waterberg Valve & Fittings (Pty) Ltd,8,11,30,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
199,500-10199,"Impact Idler, 1000mm belt width, rubber disc",Conveyor Components,Impact Idler,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,EOL,,Karoo Wear Parts Casting,MP-000199,1551.06,Highveld Electromechanical Ltd (Pty) Ltd,33,27,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
200,500-10200,"Froth Paddle Assembly, small cell",Flotation Components,Froth Paddle Assembly,BMM,BMM-WORKSHOP-STORE,EA,MEDIUM,Active,,Copperton Valve Foundry,MP-000200,15435.49,Aggeneys Bearing & Drive Co (Pty) Ltd,29,22,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
201,500-10201,"Cone Crusher Mantle, standard profile",Crusher Components,Cone Crusher Mantle,Gamsberg,GSB-PLANT-STORE,EA,CRITICAL,Active,,Copperton Pump Manufacturing,MP-000201,224736.46,Bushveld Industrial Supplies (Pty) Ltd,33,25,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
202,500-10202,"Flow Meter, magnetic, 80mm (3"")",Instrumentation,Flow Meter,BMM,BMM-WORKSHOP-STORE,EA,HIGH,Active,,Copperton Bearing Works,MP-000202,87276.59,Karoo Pump Solutions (Pty) Ltd,19,14,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
203,500-10203,"Density Meter, nuclear, 100mm (4"") pipe",Instrumentation,Density Meter,Gamsberg,GSB-MINING-STORE,EA,CRITICAL,Obsolete,,Copperton Seal Technologies,MP-000203,119987.43,Namaqua Spares & Components (Pty) Ltd,27,26,21,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
204,500-10204,"Slip Ring Induction Motor, 22kW, 6-pole",Motors,Slip Ring Induction Motor,BMM,BMM-WORKSHOP-STORE,EA,CRITICAL,Active,,Namaqua Precision Engineering,MP-000204,170652.31,Copperton Pump Solutions (Pty) Ltd,27,20,45,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
205,500-10205,"Centrifugal Slurry Pump Casing Liner, Light duty",Pumps,Centrifugal Slurry Pump Casing Liner,Gamsberg,GSB-PLANT-STORE,EA,HIGH,Active,,Sutherland Pump Manufacturing,MP-000205,76463.47,,15,7,60,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
206,500-10206,Rep Service - contracted field technician,Services,Rep Service,Gamsberg,GSB-MINING-STORE,EA,MEDIUM,Active,SVC-REP-01,,,40753.53,Copperton Pump Solutions (Pty) Ltd,0,0,5,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
207,500-10207,Rep Service - contracted field technician,Services,Rep Service,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,SVC-REP-02,,,46674.17,Namaqua Seals & Sealing Systems (Pty) Ltd,0,0,3,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
208,500-10208,Rep Service - contracted field technician,Services,Rep Service,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,SVC-REP-03,,,38403.94,Namaqua Electromechanical Ltd (Pty) Ltd,0,0,3,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
209,500-10209,Ins Service - contracted field technician,Services,Ins Service,BMM,BMM-MAIN-WH,EA,MEDIUM,Active,SVC-INS-01,,,31152.14,Namaqua Electromechanical Ltd (Pty) Ltd,0,0,3,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
210,500-10210,Ins Service - contracted field technician,Services,Ins Service,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,SVC-INS-02,,,42738.04,Upington Industrial Supplies (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
211,500-10211,Ins Service - contracted field technician,Services,Ins Service,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,SVC-INS-03,,,27091.01,Vaal Mining Equipment Traders (Pty) Ltd,0,0,3,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
212,500-10212,Cal Service - contracted field technician,Services,Cal Service,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,SVC-CAL-01,,,31515.44,Namaqua Electromechanical Ltd (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
213,500-10213,Cal Service - contracted field technician,Services,Cal Service,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,SVC-CAL-02,,,28344.31,Vaal Industrial Supplies (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
214,500-10214,Cal Service - contracted field technician,Services,Cal Service,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,SVC-CAL-03,,,9506.24,Vaal Mining Equipment Traders (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
215,500-10215,Ins Service - contracted field technician,Services,Ins Service,BMM,BMM-PLANT-STORE,EA,MEDIUM,Active,SVC-INS-01,,,34113.84,Upington Industrial Supplies (Pty) Ltd,0,0,3,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
216,500-10216,Ins Service - contracted field technician,Services,Ins Service,Gamsberg,GSB-PLANT-STORE,EA,MEDIUM,Active,SVC-INS-02,,,9406.31,Vaal Mining Equipment Traders (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
217,500-10217,Ins Service - contracted field technician,Services,Ins Service,BMM,BMM-WORKSHOP-STORE,EA,MEDIUM,Active,SVC-INS-03,,,24460.68,Northern Cape Pump Solutions (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
218,500-10218,Ref Service - contracted field technician,Services,Ref Service,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,SVC-REF-01,,,49758.56,Namaqua Electromechanical Ltd (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
219,500-10219,Ref Service - contracted field technician,Services,Ref Service,BMM,BMM-MAIN-WH,EA,MEDIUM,Active,SVC-REF-02,,,35221.23,Springbok Engineering Supplies (Pty) Ltd,0,0,10,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
220,500-10220,Ref Service - contracted field technician,Services,Ref Service,Gamsberg,GSB-MAIN-WH,EA,MEDIUM,Active,SVC-REF-03,,,43381.34,Upington Industrial Supplies (Pty) Ltd,0,0,7,,true,2026-08-26T10:18:35.097269+00:00,2026-08-26T10:18:35.097269+00:00
